2026-02-13 08:58:47.679 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 3428 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-13 08:58:47.685 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-13 08:58:47.686 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-13 08:58:48.517 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-02-13 08:58:48.523 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-13 08:58:48.523 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-13 08:58:48.540 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-13 08:58:48.541 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 803 ms
2026-02-13 08:58:48.577 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-13 08:58:48.588 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-13 08:58:48.718 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@663f237a
2026-02-13 08:58:48.719 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-13 08:58:48.719 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-13 08:58:48.794 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 08:58:48.819 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.013s)
2026-02-13 08:58:48.823 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 08:58:48.827 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 08:58:48.828 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-13 08:58:48.919 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-13 08:58:49.006 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-13 08:58:49.274 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 08:58:49.276 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.000s)
2026-02-13 08:58:49.276 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 08:58:49.276 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 08:58:49.435 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 50568 (http) with context path '/'
2026-02-13 08:58:49.455 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.13 seconds (process running for 2.851)
2026-02-13 08:58:49.785 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-13 08:58:49.785 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-13 08:58:49.786 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-02-13 08:58:49.970 [tomcat-handler-14] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-13 08:58:49.972 [virtual-77] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-13 08:58:49.973 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-13 08:58:49.981 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 08:58:49.981 [virtual-77] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:06:10.273 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 33732 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-13 09:06:10.274 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-13 09:06:10.275 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-13 09:06:11.142 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-02-13 09:06:11.148 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-13 09:06:11.148 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-13 09:06:11.166 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-13 09:06:11.167 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 846 ms
2026-02-13 09:06:11.205 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-13 09:06:11.213 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-13 09:06:11.339 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@30893e08
2026-02-13 09:06:11.340 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-13 09:06:11.340 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-13 09:06:11.417 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:06:11.439 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.012s)
2026-02-13 09:06:11.442 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:06:11.443 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:06:11.447 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-13 09:06:11.538 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-13 09:06:11.624 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-13 09:06:11.853 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:06:11.855 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-13 09:06:11.855 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:06:11.857 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:06:12.026 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 64499 (http) with context path '/'
2026-02-13 09:06:12.043 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.217 seconds (process running for 2.66)
2026-02-13 09:06:12.266 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-13 09:06:12.266 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-13 09:06:12.266 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-02-13 09:06:12.502 [tomcat-handler-14] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-13 09:06:12.503 [virtual-78] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-13 09:06:12.503 [virtual-80] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-13 09:06:12.511 [virtual-78] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:06:12.511 [virtual-80] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:10:16.393 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 4288 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-13 09:10:16.393 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-13 09:10:16.393 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-13 09:10:17.431 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-02-13 09:10:17.440 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-13 09:10:17.440 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-13 09:10:17.471 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-13 09:10:17.471 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1030 ms
2026-02-13 09:10:17.517 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-13 09:10:17.524 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-13 09:10:17.635 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@39c96e48
2026-02-13 09:10:17.635 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-13 09:10:17.635 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-13 09:10:17.707 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:10:17.727 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.010s)
2026-02-13 09:10:17.731 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:10:17.733 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:10:17.735 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-13 09:10:17.830 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-13 09:10:17.902 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-13 09:10:18.117 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:10:18.119 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.000s)
2026-02-13 09:10:18.119 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:10:18.120 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:10:18.278 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 64625 (http) with context path '/'
2026-02-13 09:10:18.296 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.343 seconds (process running for 2.722)
2026-02-13 09:10:18.518 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-13 09:10:18.518 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-13 09:10:18.518 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-02-13 09:10:18.755 [tomcat-handler-14] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-13 09:10:18.757 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-13 09:10:18.757 [virtual-81] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-13 09:10:18.763 [virtual-81] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:10:18.765 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:10:28.163 [tomcat-handler-45] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-13 09:10:28.163 [virtual-165] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-13 09:10:28.163 [virtual-167] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-13 09:10:28.169 [virtual-167] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:10:28.169 [virtual-165] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:12:30.076 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 33652 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-13 09:12:30.078 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-13 09:12:30.078 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-13 09:12:31.111 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-02-13 09:12:31.122 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-13 09:12:31.122 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-13 09:12:31.146 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-13 09:12:31.146 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1017 ms
2026-02-13 09:12:31.195 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-13 09:12:31.204 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-13 09:12:31.314 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@1a565afb
2026-02-13 09:12:31.316 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-13 09:12:31.316 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-13 09:12:31.390 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:12:31.412 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.013s)
2026-02-13 09:12:31.415 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:12:31.417 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:12:31.419 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-13 09:12:31.509 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-13 09:12:31.599 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-13 09:12:31.834 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:12:31.836 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-13 09:12:31.837 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:12:31.837 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:12:31.997 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 64681 (http) with context path '/'
2026-02-13 09:12:32.018 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.372 seconds (process running for 2.767)
2026-02-13 09:12:32.256 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-13 09:12:32.257 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-13 09:12:32.257 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-02-13 09:12:32.486 [tomcat-handler-14] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-13 09:12:32.487 [virtual-77] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-13 09:12:32.488 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-13 09:12:32.498 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:12:32.499 [virtual-77] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:12:41.374 [tomcat-handler-54] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-13 09:12:41.375 [virtual-177] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-13 09:12:41.375 [virtual-179] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-13 09:12:41.379 [virtual-177] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:12:41.379 [virtual-179] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-13 09:19:01.180 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 2068 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-13 09:19:01.181 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-13 09:19:01.181 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-13 09:19:02.054 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-02-13 09:19:02.062 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-13 09:19:02.062 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-13 09:19:02.081 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-13 09:19:02.081 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 853 ms
2026-02-13 09:19:02.122 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-13 09:19:02.135 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-13 09:19:02.254 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@39c96e48
2026-02-13 09:19:02.256 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-13 09:19:02.256 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-13 09:19:02.327 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:19:02.346 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.009s)
2026-02-13 09:19:02.350 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:19:02.352 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:19:02.353 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-13 09:19:02.427 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-13 09:19:02.490 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-13 09:19:02.677 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-13 09:19:02.680 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-13 09:19:02.681 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-13 09:19:02.681 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-13 09:19:02.804 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 57022 (http) with context path '/'
2026-02-13 09:19:02.820 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.046 seconds (process running for 2.434)
2026-02-13 09:19:03.026 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-13 09:19:03.026 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-13 09:19:03.027 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-02-13 09:19:03.223 [tomcat-handler-14] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-13 09:19:03.223 [virtual-76] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-13 09:19:03.224 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
